label_q,label_col,model,split,train_n,validation_n,test_n,train_positive_rate,validation_positive_rate,test_positive_rate,selected_threshold,threshold_selection_rule,notes,roc_auc,average_precision,f1,precision,recall,balanced_accuracy
85,high_dsv20_state_85,logistic_regression_balanced_tuned,test,1454,303,303,0.22764786795048142,0.3333333333333333,0.39933993399339934,0.375265,selected_from_multi_objective_candidates,baseline,0.5387339932794478,0.39945821907687995,0.592964824120603,0.4259927797833935,0.9752066115702479,0.5507901189719371
85,high_dsv20_state_85,random_forest,validation,1454,303,303,0.22764786795048142,0.3333333333333333,0.39933993399339934,0.085028,selected_from_multi_objective_candidates,,0.6934124105479855,0.6110743332488284,0.5585585585585585,0.40086206896551724,0.9207920792079208,0.6163366336633663
85,high_dsv20_state_85,random_forest,test,1454,303,303,0.22764786795048142,0.3333333333333333,0.39933993399339934,0.085028,selected_from_multi_objective_candidates,,0.6881754609027336,0.6281053965691482,0.6186666666666667,0.4566929133858268,0.9586776859504132,0.6002179638543275
85,high_dsv20_state_85,extra_trees,validation,1454,303,303,0.22764786795048142,0.3333333333333333,0.39933993399339934,0.346364,selected_from_multi_objective_candidates,,0.7001274384864229,0.6235083673234776,0.5668449197860963,0.6162790697674418,0.5247524752475248,0.6806930693069306
85,high_dsv20_state_85,extra_trees,test,1454,303,303,0.22764786795048142,0.3333333333333333,0.39933993399339934,0.346364,selected_from_multi_objective_candidates,,0.6367269094541822,0.5990478401610283,0.5232067510548524,0.5344827586206896,0.512396694214876,0.6078466987557897
85,high_dsv20_state_85,gradient_boosting,validation,1454,303,303,0.22764786795048142,0.3333333333333333,0.39933993399339934,0.155695,selected_from_multi_objective_candidates,,0.7733065385746495,0.6890875317665404,0.6173913043478261,0.5503875968992248,0.7029702970297029,0.7079207920792079
85,high_dsv20_state_85,gradient_boosting,test,1454,303,303,0.22764786795048142,0.3333333333333333,0.39933993399339934,0.155695,selected_from_multi_objective_candidates,,0.6110253382980656,0.5078387980974042,0.5365853658536586,0.463855421686747,0.6363636363636364,0.5736763236763236
85,high_dsv20_state_85,hist_gradient_boosting,validation,1454,303,303,0.22764786795048142,0.3333333333333333,0.39933993399339934,0.000152,selected_from_multi_objective_candidates,,0.6955690618566808,0.6062579598618598,0.5769230769230769,0.4716981132075472,0.7425742574257426,0.6633663366336633
85,high_dsv20_state_85,hist_gradient_boosting,test,1454,303,303,0.22764786795048142,0.3333333333333333,0.39933993399339934,0.000152,selected_from_multi_objective_candidates,,0.6295976750522205,0.5831297106255039,0.5460122699386503,0.43414634146341463,0.7355371900826446,0.5490872763600037
85,high_dsv20_state_85,svc_rbf,validation,1454,303,303,0.22764786795048142,0.3333333333333333,0.39933993399339934,0.284848,selected_from_multi_objective_candidates,,0.7326487599254975,0.5500285463694574,0.610909090909091,0.4827586206896552,0.8316831683168316,0.693069306930693
85,high_dsv20_state_85,svc_rbf,test,1454,303,303,0.22764786795048142,0.3333333333333333,0.39933993399339934,0.284848,selected_from_multi_objective_candidates,,0.5389156298247206,0.472761797173562,0.43601895734597157,0.5111111111111111,0.38016528925619836,0.5692035237489783
85,high_dsv20_state_85,linear_svc_calibrated,validation,1454,303,303,0.22764786795048142,0.3333333333333333,0.39933993399339934,0.206858,selected_from_multi_objective_candidates,,0.5110283305558279,0.3113076617605452,0.5359116022099447,0.3716475095785441,0.9603960396039604,0.5742574257425742
85,high_dsv20_state_85,linear_svc_calibrated,test,1454,303,303,0.22764786795048142,0.3333333333333333,0.39933993399339934,0.206858,selected_from_multi_objective_candidates,,0.5106711470347833,0.38820671727633693,0.6019900497512438,0.4306049822064057,1.0,0.5604395604395604
85,high_dsv20_state_85,knn_classifier,validation,1454,303,303,0.22764786795048142,0.3333333333333333,0.39933993399339934,0.231822,selected_from_multi_objective_candidates,,0.6137633565336731,0.48022956634289965,0.5167464114832536,0.5,0.5346534653465347,0.6336633663366337
85,high_dsv20_state_85,knn_classifier,test,1454,303,303,0.22764786795048142,0.3333333333333333,0.39933993399339934,0.231822,selected_from_multi_objective_candidates,,0.5248387975660703,0.4624825578401058,0.42585551330798477,0.39436619718309857,0.4628099173553719,0.4951412224139497
85,high_dsv20_state_85,gaussian_nb,validation,1454,303,303,0.22764786795048142,0.3333333333333333,0.39933993399339934,0.063308,selected_from_multi_objective_candidates,,0.5442603666307225,0.38040197088260186,0.5212765957446809,0.3563636363636364,0.9702970297029703,0.5470297029702971
85,high_dsv20_state_85,gaussian_nb,test,1454,303,303,0.22764786795048142,0.3333333333333333,0.39933993399339934,0.063308,selected_from_multi_objective_candidates,,0.5583961493052402,0.435335899218502,0.5975308641975309,0.426056338028169,1.0,0.5521978021978022
